Tipo da Entrada;Nome do Algoritmo;Tamanho da Entrada;Tempo de Execucao(ms);Tempo CPU(ms); Trocas; Comparacoes
1_0;Insertion Sort;6;0.000600;0.000200;0;12
1_0;Selection Sort;6;0.000400;0.000600;4;15
1_0;Merge Sort;6;0.000800;0.000400;0;9
1_0;Quick Sort;6;0.000600;0.000400;6;9
1_0;Shell Sort;6;0.000600;0.000400;8;14
2_0;Insertion Sort;6;0.003000;0.001000;0;5
2_0;Selection Sort;6;0.001000;0.000000;0;15
2_0;Merge Sort;6;0.001000;0.001000;0;9
2_0;Quick Sort;6;0.000000;0.000000;15;15
2_0;Shell Sort;6;0.000000;0.000000;0;8
3_0;Insertion Sort;6;0.004000;0.001000;0;15
3_0;Selection Sort;6;0.001000;0.001000;3;15
3_0;Merge Sort;6;0.002000;0.002000;0;7
3_0;Quick Sort;6;0.001000;0.001000;9;15
3_0;Shell Sort;6;0.001000;0.001000;9;12
4_15;Insertion Sort;6;0.001200;0.000000;0;5
4_15;Selection Sort;6;0.000400;0.000200;0;15
4_15;Merge Sort;6;0.000600;0.000400;0;9
4_15;Quick Sort;6;0.000600;0.000600;15;15
4_15;Shell Sort;6;0.000400;0.000200;0;8
1_0;Insertion Sort;7;0.000800;0.000600;0;18
1_0;Selection Sort;7;0.000600;0.000400;4;21
1_0;Merge Sort;7;0.000800;0.000600;0;12
1_0;Quick Sort;7;0.000600;0.000600;8;14
1_0;Shell Sort;7;0.000000;0.000400;10;18
2_0;Insertion Sort;7;0.001000;0.000000;0;6
2_0;Selection Sort;7;0.001000;0.001000;0;21
2_0;Merge Sort;7;0.002000;0.001000;0;11
2_0;Quick Sort;7;0.001000;0.001000;21;21
2_0;Shell Sort;7;0.001000;0.000000;0;10
3_0;Insertion Sort;7;0.003000;0.001000;0;21
3_0;Selection Sort;7;0.001000;0.000000;3;21
3_0;Merge Sort;7;0.001000;0.001000;0;9
3_0;Quick Sort;7;0.001000;0.001000;12;21
3_0;Shell Sort;7;0.000000;0.001000;7;13
4_53;Insertion Sort;7;0.001000;0.000200;0;12
4_53;Selection Sort;7;0.000400;0.000200;3;21
4_53;Merge Sort;7;0.000800;0.000400;0;14
4_53;Quick Sort;7;0.000600;0.000200;13;15
4_53;Shell Sort;7;0.000400;0.000000;7;15
1_0;Insertion Sort;8;0.000800;0.000200;0;21
1_0;Selection Sort;8;0.000600;0.000000;6;28
1_0;Merge Sort;8;0.001800;0.001600;0;16
1_0;Quick Sort;8;0.000800;0.000400;13;17
1_0;Shell Sort;8;0.000600;0.000200;8;22
2_0;Insertion Sort;8;0.003000;0.001000;0;7
2_0;Selection Sort;8;0.001000;0.000000;0;28
2_0;Merge Sort;8;0.001000;0.001000;0;12
2_0;Quick Sort;8;0.001000;0.000000;28;28
2_0;Shell Sort;8;0.001000;0.000000;0;17
3_0;Insertion Sort;8;0.003000;0.001000;0;28
3_0;Selection Sort;8;0.022000;0.009000;4;28
3_0;Merge Sort;8;0.002000;0.001000;0;12
3_0;Quick Sort;8;0.001000;0.001000;16;28
3_0;Shell Sort;8;0.001000;0.000000;12;22
4_82;Insertion Sort;8;0.001000;0.000200;0;14
4_82;Selection Sort;8;0.000800;0.000400;4;28
4_82;Merge Sort;8;0.000800;0.000400;0;16
4_82;Quick Sort;8;0.000800;0.000600;19;20
4_82;Shell Sort;8;0.000800;0.000600;4;18
1_0;Insertion Sort;9;0.000600;0.000000;0;24
1_0;Selection Sort;9;0.000600;0.000400;6;36
1_0;Merge Sort;9;0.001000;0.001000;0;18
1_0;Quick Sort;9;0.000400;0.000200;19;23
1_0;Shell Sort;9;0.000600;0.000200;8;25
2_0;Insertion Sort;9;0.003000;0.000000;0;8
2_0;Selection Sort;9;0.000000;0.001000;0;36
2_0;Merge Sort;9;0.001000;0.002000;0;16
2_0;Quick Sort;9;0.001000;0.001000;36;36
2_0;Shell Sort;9;0.000000;0.001000;0;20
3_0;Insertion Sort;9;0.004000;0.001000;0;36
3_0;Selection Sort;9;0.001000;0.001000;4;36
3_0;Merge Sort;9;0.002000;0.001000;0;13
3_0;Quick Sort;9;0.001000;0.001000;20;36
3_0;Shell Sort;9;0.001000;0.000000;8;22
4_47;Insertion Sort;9;0.000800;0.000600;0;25
4_47;Selection Sort;9;0.000600;0.000600;3;36
4_47;Merge Sort;9;0.000600;0.000400;0;21
4_47;Quick Sort;9;0.000600;0.000600;17;24
4_47;Shell Sort;9;0.000600;0.000600;9;26
1_0;Insertion Sort;10;0.001000;0.000000;0;33
1_0;Selection Sort;10;0.000600;0.000400;7;45
1_0;Merge Sort;10;0.000800;0.000600;0;23
1_0;Quick Sort;10;0.000600;0.000200;13;27
1_0;Shell Sort;10;0.000400;0.000000;9;26
2_0;Insertion Sort;10;0.003000;0.001000;0;9
2_0;Selection Sort;10;0.001000;0.001000;0;45
2_0;Merge Sort;10;0.001000;0.001000;0;19
2_0;Quick Sort;10;0.001000;0.001000;45;45
2_0;Shell Sort;10;0.001000;0.001000;0;22
3_0;Insertion Sort;10;0.003000;0.001000;0;45
3_0;Selection Sort;10;0.001000;0.000000;5;45
3_0;Merge Sort;10;0.002000;0.001000;0;15
3_0;Quick Sort;10;0.001000;0.000000;25;45
3_0;Shell Sort;10;0.001000;0.000000;13;27
4_88;Insertion Sort;10;0.001200;0.000600;0;24
4_88;Selection Sort;10;0.000800;0.000400;5;45
4_88;Merge Sort;10;0.000600;0.000600;0;23
4_88;Quick Sort;10;0.000400;0.000400;22;35
4_88;Shell Sort;10;0.000200;0.000200;11;30
1_0;Insertion Sort;20;0.001000;0.000600;0;96
1_0;Selection Sort;20;0.001200;0.001000;18;190
1_0;Merge Sort;20;0.001200;0.001200;0;64
1_0;Quick Sort;20;0.000800;0.000600;44;72
1_0;Shell Sort;20;0.000800;0.000600;38;91
2_0;Insertion Sort;20;0.003000;0.001000;0;19
2_0;Selection Sort;20;0.002000;0.001000;0;190
2_0;Merge Sort;20;0.002000;0.002000;0;48
2_0;Quick Sort;20;0.001000;0.002000;190;190
2_0;Shell Sort;20;0.000000;0.001000;0;62
3_0;Insertion Sort;20;0.003000;0.002000;0;190
3_0;Selection Sort;20;0.002000;0.001000;10;190
3_0;Merge Sort;20;0.002000;0.002000;0;40
